model_config,model_name,checkpoint,recall,f1,loss_main,top5_accuracy,loss,precision,accuracy,ava_avd_val/accuracy,ava_avd_val/top5_accuracy,ava_avd_val/precision,ava_avd_val/recall,ava_avd_val/f1,ava_avd_val/loss,ava_avd_val/loss_main,ami_val/accuracy,ami_val/top5_accuracy,ami_val/precision,ami_val/recall,ami_val/f1,ami_val/loss,ami_val/loss_main,icsi_val/accuracy,icsi_val/top5_accuracy,icsi_val/precision,icsi_val/recall,icsi_val/f1,icsi_val/loss,icsi_val/loss_main,voxconverse_val/accuracy,voxconverse_val/top5_accuracy,voxconverse_val/precision,voxconverse_val/recall,voxconverse_val/f1,voxconverse_val/loss,voxconverse_val/loss_main,mswild_val/accuracy,mswild_val/top5_accuracy,mswild_val/precision,mswild_val/recall,mswild_val/f1,mswild_val/loss,mswild_val/loss_main
configs/REPRODUCE_eval_only/02_pretraining_softmax.yaml,softmax_pretraining_model,checkpoint_0,0.1955197287782687,0.10180914346122256,1.892549330070933,0.9999999995247043,1.892549330070933,0.30330419890723637,0.1106628724589446,0.09106275749703248,1.0,0.25752221141010523,0.04891921494466563,0.07673384629500409,2.161238506436348,2.161238506436348,0.17007492200053972,0.9999999994861668,0.32993714061790497,0.2598588955428066,0.16637374473543004,1.7144456567435429,1.7144456567435429,0.09262600867077708,0.9999999981373549,0.30130418110638857,0.22533995797857642,0.08561889850534499,1.9038231633603573,1.9038231633603573,0.0792644229632887,1.0,0.32490820189317066,0.224778006756396,0.08237070576146696,1.8502974045096021,1.8502974045096021,0.12028625116308499,1.0,0.3028492595086124,0.21870256866889876,0.09794852200886671,1.832941919304815,1.832941919304815
configs/REPRODUCE_eval_only/02_pretraining_softmax.yaml,softmax_pretraining_model,checkpoint_1,0.3463818350169564,0.23467726310169343,1.6657516660037188,0.9999999995247043,1.6657516660037188,0.44057889895768076,0.27647185876971775,0.23884614774336418,1.0,0.36040144724150497,0.16138447091604272,0.19156860963751873,1.9245831320683162,1.9245831320683162,0.4476334858557274,0.9999999994861668,0.48217713331867906,0.421348188072443,0.3838738055321677,1.3702079612633278,1.3702079612633278,0.30270419269800186,0.9999999981373549,0.4271343760192394,0.36546485871076584,0.22960503213107586,1.6296759322285652,1.6296759322285652,0.16739978680782247,1.0,0.4863470975648273,0.41139555767630087,0.16638849658722227,1.6715246457042117,1.6715246457042117,0.2257756807436727,1.0,0.4468344406441529,0.3723160997092298,0.20195037162048274,1.7327666587541746,1.7327666587541746
configs/REPRODUCE_eval_only/02_pretraining_softmax.yaml,softmax_pretraining_model,checkpoint_2,0.3817582628978945,0.29166314281314343,1.5704124942316746,0.9999999995247043,1.5704124942316746,0.476833489679832,0.3578387733560926,0.2638321574777365,1.0,0.3749717231839895,0.17974594421684742,0.2125782792766889,1.8842900916934013,1.8842900916934013,0.5664333421094664,0.9999999994861668,0.5327123359873377,0.4700296016345764,0.46109741412360095,1.2254286644787624,1.2254286644787624,0.4166032038629055,0.9999999981373549,0.4607406808063388,0.40997655130922794,0.29812919488176703,1.4826758615672588,1.4826758615672588,0.2666174987274589,1.0,0.5297438146715815,0.4538075380930395,0.23950286621622968,1.5400476374409415,1.5400476374409415,0.2757076646028955,1.0,0.48599889374991273,0.39523167923578106,0.24700795956743057,1.719620215978009,1.719620215978009
configs/REPRODUCE_eval_only/02_pretraining_softmax.yaml,softmax_pretraining_model,checkpoint_3,0.3843641435425485,0.2723607240525991,1.7096901594840024,0.9999999995247043,1.7096901594840024,0.47358031833066316,0.3151094029721272,0.24035704787820578,1.0,0.36455779771010083,0.15149890833223859,0.19493936840444803,1.990337960422039,1.990337960422039,0.5357847213745117,0.9999999994861668,0.5402502528038519,0.5045406088746828,0.4704329177480319,1.250370123263063,1.250370123263063,0.3634176952764392,0.9999999981373549,0.46062253694981337,0.429388121701777,0.2772782538086176,1.5932619720697403,1.5932619720697403,0.21023022710825456,1.0,0.5219692980701273,0.445818826217543,0.20877989344863276,1.7654074850407513,1.7654074850407513,0.22575732322322462,1.0,0.4805017061194226,0.3905742525865011,0.21037318685326528,1.9490732566244173,1.9490732566244173
configs/REPRODUCE_eval_only/02_pretraining_softmax.yaml,softmax_pretraining_model,checkpoint_4,0.4032387002574098,0.29744792429981404,1.691940627333706,0.9999999995247043,1.691940627333706,0.48448853725454494,0.34746489205745756,0.2773485438277324,1.0,0.37441968855758506,0.17130439821630716,0.2163720599686106,1.9601532469193141,1.9601532469193141,0.5620530060139196,0.9999999994861668,0.5520156169759816,0.5284094901691223,0.49754006672522116,1.2207849652602756,1.2207849652602756,0.4055554326623678,0.9999999981373549,0.47063728887587786,0.45233228616416454,0.30582679621875286,1.5706764869391918,1.5706764869391918,0.24786517148216566,1.0,0.5339480679143559,0.46539945697242563,0.23983178107124387,1.7570195414803245,1.7570195414803245,0.24450230630110237,1.0,0.4914220239489241,0.39874786976502946,0.22766891751524188,1.9510688960694245,1.9510688960694245
configs/REPRODUCE_eval_only/02_pretraining_softmax.yaml,softmax_pretraining_model,checkpoint_5,0.4374555172188148,0.35205602989746343,1.544693734559612,0.9999999995247043,1.544693734559612,0.5017544687714942,0.43403070421382683,0.33459650228420895,1.0,0.3849214644481738,0.2205851407100757,0.25216856350501377,1.8433293004830678,1.8433293004830678,0.6150817162004011,0.9999999994861668,0.5670587438447722,0.5397447202483128,0.5274649705609371,1.1669283118741265,1.1669283118741265,0.5072716558352113,0.9999999981373549,0.4886226085945964,0.4790819650515914,0.36126891151070595,1.4339242689311504,1.4339242689311504,0.3826036298591079,1.0,0.5555726337161931,0.5208802569770452,0.3252020130554835,1.526064799138994,1.526064799138994,0.33060001689020463,1.0,0.5125968932537355,0.42698550310704897,0.294175690855177,1.7532219923707206,1.7532219923707206
configs/REPRODUCE_eval_only/02_pretraining_softmax.yaml,softmax_pretraining_model,checkpoint_6,0.4337699364625599,0.3420894258877967,1.6170871139304233,0.9999999995247043,1.6170871139304233,0.49926163935951984,0.41441353793070945,0.3135479334741831,1.0,0.37938759413858253,0.20577218538771072,0.2394933911661307,1.9424114748835564,1.9424114748835564,0.599581722812406,0.9999999994861668,0.5642233894302927,0.5439452230930328,0.5219145473735086,1.1967950689381566,1.1967950689381566,0.4649594882503152,0.9999999981373549,0.48454648815095425,0.47377147898077965,0.34006948582828045,1.5294263884425163,1.5294263884425163,0.3734372829397519,1.0,0.5547762098863269,0.5195743542051676,0.3208418197252534,1.5862226477175048,1.5862226477175048,0.3205412621768909,1.0,0.5133745151914425,0.4257864406461087,0.28812788534581046,1.8305799896703816,1.8305799896703816
configs/REPRODUCE_eval_only/02_pretraining_softmax.yaml,softmax_pretraining_model,checkpoint_7,0.43718024417205614,0.3453576434595923,1.6006472620463736,0.9999999995247043,1.6006472620463736,0.5008724071394757,0.4219422690586489,0.31358104199171066,1.0,0.3765644244849682,0.20685369924952587,0.23821797097722688,1.9343936070799828,1.9343936070799828,0.5979651541545473,0.9999999994861668,0.5669494937976887,0.5442323007717215,0.5201612844549376,1.199714631356042,1.199714631356042,0.4580042948946357,0.9999999981373549,0.48604458291083574,0.47567228600382805,0.3336199950426817,1.548206403851509,1.548206403851509,0.4046793986450542,1.0,0.5585763758104859,0.5302589772777124,0.33749976167173096,1.5273453534552546,1.5273453534552546,0.3354814556072968,1.0,0.5162271586934,0.42888395755749265,0.29728920515138446,1.7935763144890784,1.7935763144890784
configs/REPRODUCE_eval_only/02_pretraining_softmax.yaml,softmax_pretraining_model,checkpoint_8,0.4321471894221339,0.33447859593171514,1.6418699700961266,0.9999999995247043,1.6418699700961266,0.49652000408886404,0.39877019282110077,0.3091044779866934,1.0,0.37474230863153934,0.19658953013519445,0.23469354957342148,1.9481239318847656,1.9481239318847656,0.5765214567554409,0.9999999994861668,0.5624366353811889,0.5506231371184875,0.5145911273771319,1.217759924715963,1.217759924715963,0.42919511161744595,0.9999999981373549,0.4813620485365391,0.4715010868385434,0.3214324302971363,1.590257279574871,1.590257279574871,0.3645103932781653,1.0,0.5532618374987082,0.5186730949490359,0.3182379894635894,1.6077772040258755,1.6077772040258755,0.3145195244677584,1.0,0.5107971903963445,0.4233490980694084,0.2834378829472968,1.8454315102791579,1.8454315102791579
configs/REPRODUCE_eval_only/02_pretraining_softmax.yaml,softmax_pretraining_model,checkpoint_9,0.4348308459908698,0.33675385949891046,1.6512194904569433,0.9999999995247043,1.6512194904569433,0.4985371793812293,0.40397942119567914,0.30846038181334734,1.0,0.374556723361214,0.19633878581225872,0.23371390315393606,1.9716930463910103,1.9716930463910103,0.5813779581723542,0.9999999994861668,0.5666250812596288,0.5515841315018719,0.5172420700305495,1.2157747606778968,1.2157747606778968,0.4282161323353648,0.9999999981373549,0.48491141200065613,0.4780727755278349,0.32100662402808666,1.6149446852505207,1.6149446852505207,0.3819980518610189,1.0,0.5546477940497976,0.5238571353256702,0.32575141841715033,1.5953321723323879,1.5953321723323879,0.31984458179631053,1.0,0.51194488623485,0.42430140178671333,0.2860552818648298,1.8583527876329005,1.8583527876329005
